Date,Unique ID,#,Category,REQT Description,Spearhead,Stakeholder,Phase/Epic,Reqt Type,Status,Priority,Code Ref,Test Ref
"2025-10-16","CBS-REQ-011","3","Booking","Enable reservation of a room for a specified time block with confirmation receipt.","Bassel Taleb","Student Users","Room Booking","Technical","Done","High","SoftwareEng/Core/Services/Room/RoomService.swift (book), SoftwareEng/Core/Views/Room/BookRoomView.swift","SoftwareEngTests/RoomTests.swift, SoftwareEngTests/RentableTests.swift"
"2025-10-20","CBS-REQ-012","3","Accessibility","Provide QR-code check-in functionality for confirmed room reservations on arrival.","Syeda Ahmed","Facilities Management","Room Booking","Technical","Planned","Medium","",""
"2025-10-23","CBS-REQ-013","3","Booking","Display room details including photos, capacity, amenities, floor plan, and booking rules.","Syeda Ahmed","Student Users","Room Booking","UX","In-Progress","Medium","SoftwareEng/Core/Views/Room/RoomDetailView.swift",""
"2025-11-03","CBS-REQ-014","4","Booking","Provide a searchable equipment catalogue organised by category with real-time availability status.","Umaya Hassan","Student Users","Equipment Booking","UX","Done","High","SoftwareEng/Core/Services/Equipment/EquipmentService.swift, SoftwareEng/Core/Services/Equipment/MockEquipmentService.swift, SoftwareEng/Core/Views/Equipment/EquipmentListView.swift",""
"2025-11-06","CBS-REQ-015","4","Booking","Allow students to reserve equipment items with specified pickup and return time slots.","Bassel Taleb","Student Users","Equipment Booking","Technical","Done","High","SoftwareEng/Core/Services/Equipment/EquipmentService.swift (rent), SoftwareEng/Core/Views/Equipment/EquipmentDetailView.swift, SoftwareEng/Core/Views/Equipment/ReserveEquipmentView.swift",""
"2025-11-14","CBS-REQ-016","4","Notifications","Send automated alerts to students for overdue equipment returns.","Bassel Taleb","University IT Department","Equipment Booking","Technical","Planned","Medium","SoftwareEng/Core/Models/Equipment/Equipment.swift (isOverdue)",""
"2025-11-27","CBS-REQ-017","5","Notifications","Send reminder notifications 24 hours and 1 hour before scheduled bookings.","Bassel Taleb","Student Users","Notifications","Technical","In-Progress","High","SoftwareEng/Core/Services/Notification/NotificationManager.swift",""
"2025-12-01","CBS-REQ-018","5","Notifications","Notify students of cancellations, slot changes, or admin-triggered booking modifications.","Bassel Taleb","Student Users","Notifications","Technical","Planned","High","SoftwareEng/Core/Services/Notification/NotificationManager.swift",""
"2025-12-08","CBS-REQ-019","5","Accessibility","Allow users to configure notification preferences (push, in-app) in profile settings.","Syeda Ahmed","Student Users","Notifications","UX","Planned","Low","",""
"2026-01-06","CBS-REQ-020","6","Administration","Provide an admin dashboard showing real-time resource utilisation across rooms, equipment, and tutors.","Saad Alzamzami","Admin Users","Administration","Technical","Planned","High","",""
"2026-01-09","CBS-REQ-021","6","Administration","Allow admins to create, modify, and deactivate student and tutor user accounts.","Jason Myers","University IT Department","Administration","Policy","Planned","High","",""
"2026-01-13","CBS-REQ-022","6","Administration","Enable admins to approve, reject, or override any booking request across all resource types.","Jason Myers","Admin Users","Administration","Policy","Planned","High","",""
"2026-01-20","CBS-REQ-023","6","Security","Maintain a full audit log of all admin actions, booking events, and system changes.","Saad Alzamzami","Compliance Team","Administration","Policy","Planned","High","",""
"2026-01-27","CBS-REQ-025","7","Feedback","Allow students to submit a star rating and written review after each completed tutor session.","Syeda Ahmed","Student Users","Ratings & Feedback","UX","In-Progress","Low","SoftwareEng/Core/Services/Tutor/TutorService.swift (rateSession)",""
"2026-01-30","CBS-REQ-024","7","Feedback","Display aggregated tutor ratings and reviews on the tutor profile view.","Syeda Ahmed","Tutor Users","Ratings & Feedback","UX","In-Progress","High","SoftwareEng/Core/Models/Tutor/Tutor.swift (rating, ratingDisplay)",""
"2026-02-03","CBS-REQ-026","7","Feedback","Enable students to rate room and equipment quality after use, contributing to a quality score.","Umaya Hassan","Facilities Management","Ratings & Feedback","UX","In-Progress","Medium","SoftwareEng/Core/Services/Room/RoomService.swift (rate), SoftwareEng/Core/Services/Equipment/EquipmentService.swift (rate)",""
"2026-02-13","CBS-REQ-027","7","Security","Ensure all user data is encrypted in transit (TLS 1.3) and at rest, complying with university data protection policy.","Saad Alzamzami","University IT Department","Administration","Policy","Done","High","SoftwareEng/App/Config.swift, SoftwareEng/Core/Services/Auth/SupabaseAuthService.swift (HTTPS via Supabase)",""
